[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	445.1181
MaxThxRotSpd	d/s	584.7088
MaxArmsRotSpd	d/s	818.9316
MaxShftRotSpd	d/s	1687.9464
ShftAngAtMaxSpd	deg	18.3483
PlvThxRotSpdGain	d/s	139.5907
ThxArmsRotSpdGain	d/s	234.2227
ArmsShftRotSpdGain	d/s	869.0148
BckSwngMS	ms	925.0000
FwdSwngMS	ms	291.6667
FThruMS	ms	458.3333
XFctrS1	deg	0.4645
WrstSetAng1	deg	103.5225
ShftAngAtMxSpd	deg	18.3483
MaxShftRotSpd2	d/s	1687.9464
ShftRotSpdAtImp	d/s	1687.9464
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	103.5225
XFctrTop1	deg	47.7432
XFctrMax1	deg	48.2077
XFctrStrch2	deg	0.4645
BckSwngSecs	s	0.9250
FwdSwngSecs	s	0.2917
FThruSecs	s	0.4583
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1170.3170
ThxAvgAngAccel	d/s/s	1628.2745
ArmsAvgAngAccel	d/s/s	2922.0716
ShftAvgAngAccel	d/s/s	5551.4622
PlvAvgAngDecel	d/s/s	526.2028
ThxAvgAngDecel	d/s/s	0.0000
ArmsAvgAngDecel	d/s/s	1860.8591
ShftAvgAngDecel	d/s/s	3903.0662
PlvMaxRotSpd2	d/s	441.9112
ThxMaxRotSpd2	d/s	566.3346
ArmsMaxRotSpd2	d/s	816.7381
ShftMaxRotSpd2	d/s	1608.3609
ToPlvRotSpdGain2	d/s	441.9112
PlvThxRotSpdGain2	d/s	124.4234
ThxArmsRotSpdGain2	d/s	250.4035
ArmsShftRotSpdGain2	d/s	791.6228
tBefImpPlv	ms	37.5000
tBefImpThx	ms	0.0000
tBefImpArms	ms	54.1667
tBefImpShft	ms	0.0000
tBefTopPlv	ms	125.0000
tBefTopThx	ms	58.3333
tBefTopArms	ms	45.8333
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	2.0000
TOrderArms	order	3.0000
TOrderShft	order	4.0000
POrderPlv	order	2.0000
POrderThx	order	3.0000
POrderArm	order	1.0000
POrderShft	order	3.0000
CRAtPlvTransSA	deg	38.6150
CRAtThxTransSA	deg	41.6090
CRAtPTEquiSA	deg	42.2150
PTOppDir	deg	2.9940
PTFwdDir	deg	0.6060
PTMax	deg	3.6000
tPlvTrans	ms	-125.0000
tThxTrans	ms	-58.3333
tEquiVelT	ms	-25.0000
tEquiVelI	ms	-316.6667
tPTOpp	ms	66.6667
tPTFwd	ms	33.3333
tPTtotal	ms	100.0000
vPTOpp	d/s	44.9100
vPTFwd	d/s	18.1800
vPTMax	d/s	36.0000
CRAtPlvTransJCS	deg	40.6620
CRAtThxTransJCS	deg	43.5540
CRAtPTEquiJCS	deg	44.0440
PTOppDirJCS	deg	2.8920
PTFwdDirJCS	deg	0.4900
PTMaxJCS	deg	3.3820
vPTOppJCS	d/s	43.3800
vPTFwdJCS	d/s	14.7000
vPTMaxJCS	d/s	33.8200
LUArmAvgAngAccel	d/s/s	2813.2263
LUArmAvgAngDecel	d/s/s	1049.1222
LUArmMaxAngVel	d/s	828.9460
LUArmAngVelGain	d/s	262.6114
LUArmPeakTime	ms	37.5000
LUArmTransTime	ms	41.6667
LUArmToClbGain	d/s	779.4149
PlvPcntMax	%	27.4759
ThxPcntMax	%	35.2119
ArmPcntMax	%	51.5398
ArmsPcntMax	%	50.7808
ClbPcntMax	%	100.0000
fGainPT	ratio	1.2816
fGainTU	ratio	1.4637
fGainUC	ratio	1.9402
fGainTA	ratio	1.4421
fGainAC	ratio	1.9692
tPeaksPT	ms	37.5000
tPeaksTU	ms	-37.5000
tPeaksUC	ms	37.5000
tPeaksTA	ms	-54.1667
tPeaksAC	ms	54.1667
PcntLegs	%	27.4759
PcntCore	%	7.7360
PcntShld	%	16.3279
PcntWrst	%	48.4602
POrderPlvU	order	1.0000
POrderThxU	order	3.0000
POrderArmU	order	2.0000
POrderShftU	order	3.0000
TOrderPlvU	order	1.0000
TOrderThxU	order	2.0000
TOrderArmU	order	3.0000
TOrderShftU	order	4.0000
tTranToPkPlv	ms	379.1667
tTranToPkThx	ms	350.0000
tTranToPkLUArm	ms	295.8333
tTranToPkClb	ms	291.6667
tTranToImpPlv	ms	416.6667
tTranToImpThx	ms	350.0000
tTranToImpLUArm	ms	333.3333
tTranToImpArms	ms	337.5000
tTranToImpClb	ms	291.6667
