[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	421.4509
MaxThxRotSpd	d/s	581.0988
MaxArmsRotSpd	d/s	814.4197
MaxShftRotSpd	d/s	1662.6829
ShftAngAtMaxSpd	deg	23.3361
PlvThxRotSpdGain	d/s	159.6479
ThxArmsRotSpdGain	d/s	233.3209
ArmsShftRotSpdGain	d/s	848.2632
BckSwngMS	ms	1058.3333
FwdSwngMS	ms	287.5000
FThruMS	ms	395.8333
XFctrS1	deg	0.1617
WrstSetAng1	deg	104.8673
ShftAngAtMxSpd	deg	23.3361
MaxShftRotSpd2	d/s	1662.6829
ShftRotSpdAtImp	d/s	1613.3738
ShftRotSpdLoss	d/s	49.3091
WrstSetAng2	deg	104.8673
XFctrTop1	deg	49.6239
XFctrMax1	deg	49.7856
XFctrStrch2	deg	0.1617
BckSwngSecs	s	1.0583
FwdSwngSecs	s	0.2875
FThruSecs	s	0.3958
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	942.5231
ThxAvgAngAccel	d/s/s	1606.5663
ArmsAvgAngAccel	d/s/s	2939.9368
ShftAvgAngAccel	d/s/s	5768.0767
PlvAvgAngDecel	d/s/s	499.8982
ThxAvgAngDecel	d/s/s	0.0000
ArmsAvgAngDecel	d/s/s	1347.5793
ShftAvgAngDecel	d/s/s	3924.9114
PlvMaxRotSpd2	d/s	419.7173
ThxMaxRotSpd2	d/s	566.0301
ArmsMaxRotSpd2	d/s	811.7843
ShftMaxRotSpd2	d/s	1664.0207
ToPlvRotSpdGain2	d/s	419.7173
PlvThxRotSpdGain2	d/s	146.3127
ThxArmsRotSpdGain2	d/s	245.7543
ArmsShftRotSpdGain2	d/s	852.2364
tBefImpPlv	ms	41.6667
tBefImpThx	ms	0.0000
tBefImpArms	ms	58.3333
tBefImpShft	ms	0.0000
tBefTopPlv	ms	195.8333
tBefTopThx	ms	62.5000
tBefTopArms	ms	45.8333
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	2.0000
TOrderArms	order	3.0000
TOrderShft	order	4.0000
POrderPlv	order	2.0000
POrderThx	order	3.0000
POrderArm	order	1.0000
POrderShft	order	3.0000
CRAtPlvTransSA	deg	37.5330
CRAtThxTransSA	deg	43.0980
CRAtPTEquiSA	deg	43.8770
PTOppDir	deg	5.5650
PTFwdDir	deg	0.7790
PTMax	deg	6.3440
tPlvTrans	ms	-200.0000
tThxTrans	ms	-66.6667
tEquiVelT	ms	-20.8333
tEquiVelI	ms	-308.3333
tPTOpp	ms	133.3333
tPTFwd	ms	45.8333
tPTtotal	ms	179.1667
vPTOpp	d/s	41.7375
vPTFwd	d/s	16.9964
vPTMax	d/s	35.4084
CRAtPlvTransJCS	deg	39.2200
CRAtThxTransJCS	deg	44.6980
CRAtPTEquiJCS	deg	45.3860
PTOppDirJCS	deg	5.4780
PTFwdDirJCS	deg	0.6880
PTMaxJCS	deg	6.1660
vPTOppJCS	d/s	41.0850
vPTFwdJCS	d/s	15.0109
vPTMaxJCS	d/s	34.4149
LUArmAvgAngAccel	d/s/s	2814.3371
LUArmAvgAngDecel	d/s/s	939.9434
LUArmMaxAngVel	d/s	830.8404
LUArmAngVelGain	d/s	264.8103
LUArmPeakTime	ms	37.5000
LUArmTransTime	ms	54.1667
LUArmToClbGain	d/s	833.1803
PlvPcntMax	%	25.2231
ThxPcntMax	%	34.0158
ArmPcntMax	%	49.9297
ArmsPcntMax	%	48.7845
ClbPcntMax	%	100.0000
fGainPT	ratio	1.3486
fGainTU	ratio	1.4678
fGainUC	ratio	2.0028
fGainTA	ratio	1.4342
fGainAC	ratio	2.0498
tPeaksPT	ms	41.6667
tPeaksTU	ms	-37.5000
tPeaksUC	ms	37.5000
tPeaksTA	ms	-58.3333
tPeaksAC	ms	58.3333
PcntLegs	%	25.2231
PcntCore	%	8.7927
PcntShld	%	15.9139
PcntWrst	%	50.0703
POrderPlvU	order	1.0000
POrderThxU	order	3.0000
POrderArmU	order	2.0000
POrderShftU	order	3.0000
TOrderPlvU	order	1.0000
TOrderThxU	order	2.0000
TOrderArmU	order	3.0000
TOrderShftU	order	4.0000
tTranToPkPlv	ms	445.8333
tTranToPkThx	ms	354.1667
tTranToPkLUArm	ms	308.3333
tTranToPkClb	ms	291.6667
tTranToImpPlv	ms	487.5000
tTranToImpThx	ms	354.1667
tTranToImpLUArm	ms	345.8333
tTranToImpArms	ms	337.5000
tTranToImpClb	ms	291.6667
tTranPlvThx	ms	133.3333
tTranThxLUArm	ms	8.3333
tTranLUArmClb	ms	54.1667
tTranThxArms	ms	16.6667
tTranArmsClb	ms	45.8333
PlvTransAccel	d/s/s	321.2090
ThxTransAccel	d/s/s	1003.1752
LUArmTransAccel	d/s/s	2254.7018
ClbTransAccel	d/s/s	4824.1007
tTranToEqPlv	ms	179.1667
tTranToEqThx	ms	45.8333
tTranToEqLUArm	ms	37.5000
tTranToEqClb	ms	-16.6667
ShHorAdAtThxTrans	deg	75.6780
ShHorAdAtLArmTrans	deg	75.5700
ShHorAdMin	deg	66.6860
ThxLArmContraAng	deg	0.1080
ThxLArmIpsiAng	deg	8.8840
ThxLArmTotalAng	deg	8.9920
tThxLArmContra	ms	8.3333
tThxLArmIpsi	ms	229.1667
tThxLArmTotal	ms	237.5000
vThxLArmContra	d/s	12.9600
vThxLArmIpsi	d/s	38.7665
vThxLArmTotal	d/s	37.8611
WrSetAtLArmTrans	deg	99.1220
WrSetAtClbTrans	deg	90.6650
WrSetMin	deg	88.4700
WrSetPreImp	deg	127.8630
LArmClbContraAng	deg	8.4570
LArmClbIpsiAng	deg	2.1950
LArmClbTotalAng	deg	10.6520
tLArmClbContra	ms	54.1667
tLArmClbIpsi	ms	33.3333
tLArmClbTotal	ms	87.5000
vLArmClbContra	d/s	156.1292
vLArmClbIpsi	d/s	65.8500
vLArmClbTotal	d/s	121.7371
WrSetAVMax	d/s	595.5320
PkOrdBkSwPlv	order	2.0000
PkOrdBkSwThx	order	1.0000
PkOrdBkSwLArm	order	3.0000
PkOrdBkSwClb	order	4.0000
tBkSwPkToTopPlv	ms	487.5000
tBkSwPkToTopThx	ms	520.8333
tBkSwPkToTopLArm	ms	354.1667
tBkSwPkToTopClb	ms	204.1667
tBkSwPkToImpPlv	ms	779.1667
tBkSwPkToImpThx	ms	812.5000
tBkSwPkToImpLArm	ms	645.8333
tBkSwPkToImpClb	ms	495.8333
BkSwPkPlv	d/s	112.7509
BkSwPkThx	d/s	178.5840
BkSwPkLUArm	d/s	194.7173
BkSwPkClb	d/s	439.8016
aaBkSwPlv	d/s/s	175.5379
aaBkSwThx	d/s/s	312.0114
aaBkSwLArm	d/s/s	268.2818
aaBkSwClb	d/s/s	507.2640
adBkSwPlv	d/s/s	328.5802
adBkSwThx	d/s/s	498.4909
adBkSwLArm	d/s/s	389.9932
adBkSwClb	d/s/s	495.8430
tBkSwPkPlvToThx	ms	-33.3333
tBkSwPkThxToLArm	ms	166.6667
tBkSwPkLArmToClb	ms	150.0000
PlvRtnMax	deg	108.3630
PlvRtnMin	deg	-51.5230
PlvRtnRng	deg	159.8860
UBdyRtnMax	deg	142.0030
UBdyRtnMin	deg	-92.1090
UBdyRtnRng	deg	234.1120
PlvBndMax	deg	24.0790
PlvBndMin	deg	-1.0260
PlvBndRng	deg	25.1050
UBdyBndMax	deg	50.0940
UBdyBndMin	deg	-13.1090
UBdyBndRng	deg	63.2030
PlvSBndMax	deg	13.7390
PlvSBndMin	deg	-9.9450
PlvSBndRng	deg	23.6840
UBdySBndMax	deg	33.8280
UBdySBndMin	deg	-33.1000
UBdySBndRng	deg	66.9280
HdRtnMax	deg	100.0560
HdRtnMin	deg	-30.5740
