[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	484.2032
MaxThxRotSpd	d/s	605.7425
MaxArmsRotSpd	d/s	836.4343
MaxShftRotSpd	d/s	1735.1650
ShftAngAtMaxSpd	deg	33.4974
PlvThxRotSpdGain	d/s	121.5393
ThxArmsRotSpdGain	d/s	230.6919
ArmsShftRotSpdGain	d/s	898.7307
BckSwngMS	ms	925.0000
FwdSwngMS	ms	283.3333
FThruMS	ms	429.1667
XFctrS1	deg	1.7140
WrstSetAng1	deg	103.3799
ShftAngAtMxSpd	deg	33.4974
MaxShftRotSpd2	d/s	1735.1650
ShftRotSpdAtImp	d/s	1710.9166
ShftRotSpdLoss	d/s	24.2484
WrstSetAng2	deg	103.3799
XFctrTop1	deg	49.1565
XFctrMax1	deg	50.8705
XFctrStrch2	deg	1.7140
BckSwngSecs	s	0.9250
FwdSwngSecs	s	0.2833
FThruSecs	s	0.4292
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1275.9784
ThxAvgAngAccel	d/s/s	1715.3264
ArmsAvgAngAccel	d/s/s	3183.7784
ShftAvgAngAccel	d/s/s	6180.8720
PlvAvgAngDecel	d/s/s	0.0000
ThxAvgAngDecel	d/s/s	0.0000
ArmsAvgAngDecel	d/s/s	451.8761
ShftAvgAngDecel	d/s/s	4611.5204
PlvMaxRotSpd2	d/s	467.1474
ThxMaxRotSpd2	d/s	584.2085
ArmsMaxRotSpd2	d/s	828.4048
ShftMaxRotSpd2	d/s	1722.7197
ToPlvRotSpdGain2	d/s	467.1474
PlvThxRotSpdGain2	d/s	117.0610
ThxArmsRotSpdGain2	d/s	244.1963
ArmsShftRotSpdGain2	d/s	894.3150
tBefImpPlv	ms	0.0000
tBefImpThx	ms	0.0000
tBefImpArms	ms	62.5000
tBefImpShft	ms	4.1667
tBefTopPlv	ms	83.3333
tBefTopThx	ms	58.3333
tBefTopArms	ms	41.6667
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	2.0000
TOrderArms	order	3.0000
TOrderShft	order	4.0000
POrderPlv	order	3.0000
POrderThx	order	3.0000
POrderArm	order	1.0000
POrderShft	order	2.0000
CRAtPlvTransSA	deg	42.5690
CRAtThxTransSA	deg	43.0430
CRAtPTEquiSA	deg	43.2650
PTOppDir	deg	0.4740
PTFwdDir	deg	0.2220
PTMax	deg	0.6960
tPlvTrans	ms	-83.3333
tThxTrans	ms	-58.3333
tEquiVelT	ms	4.1667
tEquiVelI	ms	-279.1667
tPTOpp	ms	25.0000
tPTFwd	ms	62.5000
tPTtotal	ms	87.5000
vPTOpp	d/s	18.9600
vPTFwd	d/s	3.5520
vPTMax	d/s	7.9543
CRAtPlvTransJCS	deg	44.1370
CRAtThxTransJCS	deg	44.6330
CRAtPTEquiJCS	deg	44.7120
PTOppDirJCS	deg	0.4960
PTFwdDirJCS	deg	0.0790
PTMaxJCS	deg	0.5750
vPTOppJCS	d/s	19.8400
vPTFwdJCS	d/s	1.2640
vPTMaxJCS	d/s	6.5714
LUArmAvgAngAccel	d/s/s	2974.8319
LUArmAvgAngDecel	d/s/s	1159.0492
LUArmMaxAngVel	d/s	833.4281
