[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	396.7102
MaxThxRotSpd	d/s	579.4972
MaxArmsRotSpd	d/s	841.3437
MaxShftRotSpd	d/s	1526.7609
ShftAngAtMaxSpd	deg	59.4770
PlvThxRotSpdGain	d/s	182.7870
ThxArmsRotSpdGain	d/s	261.8465
ArmsShftRotSpdGain	d/s	685.4172
BckSwngMS	ms	1091.6667
FwdSwngMS	ms	350.0000
FThruMS	ms	604.1667
XFctrS1	deg	5.7177
WrstSetAng1	deg	89.4518
ShftAngAtMxSpd	deg	59.4770
MaxShftRotSpd2	d/s	1526.7609
ShftRotSpdAtImp	d/s	1226.9748
ShftRotSpdLoss	d/s	299.7861
WrstSetAng2	deg	89.4518
XFctrTop1	deg	34.5752
XFctrMax1	deg	40.2929
XFctrStrch2	deg	5.7177
BckSwngSecs	s	1.0917
FwdSwngSecs	s	0.3500
FThruSecs	s	0.6042
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1124.9026
ThxAvgAngAccel	d/s/s	2060.0541
ArmsAvgAngAccel	d/s/s	2537.9100
ShftAvgAngAccel	d/s/s	4752.3354
PlvAvgAngDecel	d/s/s	2122.7782
ThxAvgAngDecel	d/s/s	1170.6261
ArmsAvgAngDecel	d/s/s	1392.4600
ShftAvgAngDecel	d/s/s	3581.8629
PlvMaxRotSpd2	d/s	396.1880
ThxMaxRotSpd2	d/s	575.9390
ArmsMaxRotSpd2	d/s	841.3440
ShftMaxRotSpd2	d/s	1526.7610
ToPlvRotSpdGain2	d/s	396.1880
PlvThxRotSpdGain2	d/s	179.7510
ThxArmsRotSpdGain2	d/s	265.4050
ArmsShftRotSpdGain2	d/s	685.4170
tBefImpPlv	ms	91.6667
tBefImpThx	ms	95.8333
tBefImpArms	ms	50.0000
tBefImpShft	ms	25.0000
tBefTopPlv	ms	95.8333
tBefTopThx	ms	29.1667
tBefTopArms	ms	33.3333
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	3.0000
TOrderArms	order	2.0000
TOrderShft	order	4.0000
POrderPlv	order	2.0000
POrderThx	order	1.0000
POrderArm	order	3.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	37.0930
CRAtThxTransSA	deg	39.3190
CRAtPTEquiSA	deg	40.0020
PTOppDir	deg	2.2260
PTFwdDir	deg	0.6830
PTMax	deg	2.9090
tPlvTrans	ms	-95.8333
tThxTrans	ms	-29.1667
tEquiVelT	ms	4.1667
tEquiVelI	ms	-345.8333
tPTOpp	ms	66.6667
tPTFwd	ms	33.3333
tPTtotal	ms	100.0000
vPTOpp	d/s	33.3900
vPTFwd	d/s	20.4900
vPTMax	d/s	29.0900
CRAtPlvTransJCS	deg	38.3650
CRAtThxTransJCS	deg	40.6540
CRAtPTEquiJCS	deg	41.3550
PTOppDirJCS	deg	2.2890
PTFwdDirJCS	deg	0.7010
PTMaxJCS	deg	2.9900
vPTOppJCS	d/s	34.3350
vPTFwdJCS	d/s	21.0300
vPTMaxJCS	d/s	29.9000
LUArmAvgAngAccel	d/s/s	1823.0817
LUArmAvgAngDecel	d/s/s	0.0000
LUArmMaxAngVel	d/s	689.9740
LUArmAngVelGain	d/s	114.0350
LUArmPeakTime	ms	0.0000
LUArmTransTime	ms	41.6667
LUArmToClbGain	d/s	836.7870
PlvPcntMax	%	25.9496
ThxPcntMax	%	37.7229
ArmPcntMax	%	45.1920
ArmsPcntMax	%	55.1065
ClbPcntMax	%	100.0000
fGainPT	ratio	1.4537
fGainTU	ratio	1.1980
fGainUC	ratio	2.2128
fGainTA	ratio	1.4608
fGainAC	ratio	1.8147
tPeaksPT	ms	-4.1667
tPeaksTU	ms	95.8333
tPeaksUC	ms	-25.0000
tPeaksTA	ms	45.8333
tPeaksAC	ms	25.0000
PcntLegs	%	25.9496
PcntCore	%	11.7734
