[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	523.9655
MaxThxRotSpd	d/s	680.3403
MaxArmsRotSpd	d/s	989.5977
MaxShftRotSpd	d/s	1740.8887
ShftAngAtMaxSpd	deg	3.1401
PlvThxRotSpdGain	d/s	156.3749
ThxArmsRotSpdGain	d/s	309.2573
ArmsShftRotSpdGain	d/s	751.2910
BckSwngMS	ms	979.1667
FwdSwngMS	ms	308.3333
FThruMS	ms	583.3333
XFctrS1	deg	8.0497
WrstSetAng1	deg	91.4492
ShftAngAtMxSpd	deg	3.1401
MaxShftRotSpd2	d/s	1740.8887
ShftRotSpdAtImp	d/s	1740.8887
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	91.4492
XFctrTop1	deg	38.8194
XFctrMax1	deg	46.8691
XFctrStrch2	deg	8.0497
BckSwngSecs	s	0.9792
FwdSwngSecs	s	0.3083
FThruSecs	s	0.5833
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1451.2453
ThxAvgAngAccel	d/s/s	2603.9695
ArmsAvgAngAccel	d/s/s	3130.2254
ShftAvgAngAccel	d/s/s	6049.9896
PlvAvgAngDecel	d/s/s	3780.8280
ThxAvgAngDecel	d/s/s	3190.5467
ArmsAvgAngDecel	d/s/s	1663.1815
ShftAvgAngDecel	d/s/s	5035.8029
PlvMaxRotSpd2	d/s	501.0560
ThxMaxRotSpd2	d/s	676.2490
ArmsMaxRotSpd2	d/s	910.9720
ShftMaxRotSpd2	d/s	1717.9320
ToPlvRotSpdGain2	d/s	501.0560
PlvThxRotSpdGain2	d/s	175.1930
ThxArmsRotSpdGain2	d/s	234.7230
ArmsShftRotSpdGain2	d/s	806.9600
tBefImpPlv	ms	83.3333
tBefImpThx	ms	75.0000
tBefImpArms	ms	54.1667
tBefImpShft	ms	20.8333
tBefTopPlv	ms	120.8333
tBefTopThx	ms	29.1667
tBefTopArms	ms	41.6667
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	3.0000
TOrderArms	order	2.0000
TOrderShft	order	4.0000
POrderPlv	order	1.0000
POrderThx	order	2.0000
POrderArm	order	3.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	38.0750
CRAtThxTransSA	deg	43.4200
CRAtPTEquiSA	deg	44.2280
PTOppDir	deg	5.3450
PTFwdDir	deg	0.8080
PTMax	deg	6.1530
tPlvTrans	ms	-120.8333
tThxTrans	ms	-29.1667
tEquiVelT	ms	-4.1667
tEquiVelI	ms	-312.5000
tPTOpp	ms	91.6667
tPTFwd	ms	25.0000
tPTtotal	ms	116.6667
vPTOpp	d/s	58.3091
vPTFwd	d/s	32.3200
vPTMax	d/s	52.7400
CRAtPlvTransJCS	deg	40.2220
CRAtThxTransJCS	deg	45.5090
CRAtPTEquiJCS	deg	46.2620
PTOppDirJCS	deg	5.2870
PTFwdDirJCS	deg	0.7530
PTMaxJCS	deg	6.0400
vPTOppJCS	d/s	57.6764
vPTFwdJCS	d/s	30.1200
vPTMaxJCS	d/s	51.7714
LUArmAvgAngAccel	d/s/s	2841.2935
LUArmAvgAngDecel	d/s/s	436.0421
LUArmMaxAngVel	d/s	764.1480
LUArmAngVelGain	d/s	87.8990
LUArmPeakTime	ms	79.1667
LUArmTransTime	ms	45.8333
LUArmToClbGain	d/s	953.7840
PlvPcntMax	%	29.1662
ThxPcntMax	%	39.3641
ArmPcntMax	%	44.4807
ArmsPcntMax	%	53.0272
ClbPcntMax	%	100.0000
fGainPT	ratio	1.3496
fGainTU	ratio	1.1300
fGainUC	ratio	2.2482
fGainTA	ratio	1.3471
fGainAC	ratio	1.8858
tPeaksPT	ms	8.3333
tPeaksTU	ms	-4.1667
tPeaksUC	ms	58.3333
tPeaksTA	ms	20.8333
tPeaksAC	ms	33.3333
PcntLegs	%	29.1662
PcntCore	%	10.1979
PcntShld	%	5.1166
PcntWrst	%	55.5193
POrderPlvU	order	1.0000
POrderThxU	order	3.0000
POrderArmU	order	2.0000
POrderShftU	order	4.0000
TOrderPlvU	order	1.0000
TOrderThxU	order	3.0000
TOrderArmU	order	2.0000
TOrderShftU	order	4.0000
tTranToPkPlv	ms	345.8333
tTranToPkThx	ms	262.5000
tTranToPkLUArm	ms	275.0000
tTranToPkClb	ms	287.5000
tTranToImpPlv	ms	429.1667
tTranToImpThx	ms	337.5000
tTranToImpLUArm	ms	354.1667
tTranToImpArms	ms	350.0000
tTranToImpClb	ms	308.3333
tTranPlvThx	ms	91.6667
tTranThxLUArm	ms	-16.6667
tTranLUArmClb	ms	45.8333
tTranThxArms	ms	-12.5000
tTranArmsClb	ms	41.6667
PlvTransAccel	d/s/s	690.7800
ThxTransAccel	d/s/s	1863.5400
LUArmTransAccel	d/s/s	1728.1000
ClbTransAccel	d/s/s	4111.8200
tTranToEqPlv	ms	116.6667
tTranToEqThx	ms	25.0000
tTranToEqLUArm	ms	41.6667
tTranToEqClb	ms	-4.1667
ShHorAdAtThxTrans	deg	42.4890
ShHorAdAtLArmTrans	deg	42.2520
ShHorAdMin	deg	41.6380
ThxLArmContraAng	deg	0.0000
ThxLArmIpsiAng	deg	0.0000
ThxLArmTotalAng	deg	0.0000
tThxLArmContra	ms	0.0000
tThxLArmIpsi	ms	0.0000
tThxLArmTotal	ms	0.0000
vThxLArmContra	d/s	0.0000
vThxLArmIpsi	d/s	0.0000
vThxLArmTotal	d/s	0.0000
WrSetAtLArmTrans	deg	101.5320
WrSetAtClbTrans	deg	94.4710
WrSetMin	deg	88.0260
WrSetPreImp	deg	140.4750
LArmClbContraAng	deg	7.0610
LArmClbIpsiAng	deg	6.4450
LArmClbTotalAng	deg	13.5060
tLArmClbContra	ms	45.8333
tLArmClbIpsi	ms	91.6667
tLArmClbTotal	ms	137.5000
vLArmClbContra	d/s	154.0582
vLArmClbIpsi	d/s	70.3091
vLArmClbTotal	d/s	98.2255
WrSetAVMax	d/s	959.9040
PkOrdBkSwPlv	order	1.0000
