[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	440.8319
MaxThxRotSpd	d/s	625.1164
MaxArmsRotSpd	d/s	945.6650
MaxShftRotSpd	d/s	1601.8719
ShftAngAtMaxSpd	deg	55.5974
PlvThxRotSpdGain	d/s	184.2845
ThxArmsRotSpdGain	d/s	320.5487
ArmsShftRotSpdGain	d/s	656.2069
BckSwngMS	ms	1062.5000
FwdSwngMS	ms	320.8333
FThruMS	ms	662.5000
XFctrS1	deg	5.4314
WrstSetAng1	deg	88.4321
ShftAngAtMxSpd	deg	55.5974
MaxShftRotSpd2	d/s	1601.8719
ShftRotSpdAtImp	d/s	1537.9533
ShftRotSpdLoss	d/s	63.9187
WrstSetAng2	deg	88.4321
XFctrTop1	deg	35.5776
XFctrMax1	deg	41.0090
XFctrStrch2	deg	5.4314
BckSwngSecs	s	1.0625
FwdSwngSecs	s	0.3208
FThruSecs	s	0.6625
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1144.9134
ThxAvgAngAccel	d/s/s	2193.7624
ArmsAvgAngAccel	d/s/s	2992.7647
ShftAvgAngAccel	d/s/s	5359.8067
PlvAvgAngDecel	d/s/s	2586.7467
ThxAvgAngDecel	d/s/s	1767.1560
ArmsAvgAngDecel	d/s/s	874.8267
ShftAvgAngDecel	d/s/s	4473.3717
PlvMaxRotSpd2	d/s	433.7880
ThxMaxRotSpd2	d/s	620.9960
ArmsMaxRotSpd2	d/s	845.9680
ShftMaxRotSpd2	d/s	1601.8720
ToPlvRotSpdGain2	d/s	433.7880
PlvThxRotSpdGain2	d/s	187.2080
ThxArmsRotSpdGain2	d/s	224.9720
ArmsShftRotSpdGain2	d/s	755.9040
tBefImpPlv	ms	75.0000
tBefImpThx	ms	83.3333
tBefImpArms	ms	75.0000
tBefImpShft	ms	20.8333
tBefTopPlv	ms	133.3333
tBefTopThx	ms	45.8333
tBefTopArms	ms	37.5000
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	2.0000
TOrderArms	order	3.0000
TOrderShft	order	4.0000
POrderPlv	order	2.0000
POrderThx	order	1.0000
POrderArm	order	2.0000
POrderShft	order	3.0000
CRAtPlvTransSA	deg	35.7720
CRAtThxTransSA	deg	39.3550
CRAtPTEquiSA	deg	40.5870
PTOppDir	deg	3.5830
PTFwdDir	deg	1.2320
PTMax	deg	4.8150
tPlvTrans	ms	-133.3333
tThxTrans	ms	-45.8333
tEquiVelT	ms	8.3333
tEquiVelI	ms	-312.5000
tPTOpp	ms	87.5000
tPTFwd	ms	54.1667
tPTtotal	ms	141.6667
vPTOpp	d/s	40.9486
vPTFwd	d/s	22.7446
vPTMax	d/s	33.9882
CRAtPlvTransJCS	deg	37.7420
CRAtThxTransJCS	deg	41.0830
CRAtPTEquiJCS	deg	42.2810
PTOppDirJCS	deg	3.3410
PTFwdDirJCS	deg	1.1980
PTMaxJCS	deg	4.5390
vPTOppJCS	d/s	38.1829
vPTFwdJCS	d/s	22.1169
vPTMaxJCS	d/s	32.0400
LUArmAvgAngAccel	d/s/s	2649.0655
LUArmAvgAngDecel	d/s/s	673.2720
LUArmMaxAngVel	d/s	722.5500
LUArmAngVelGain	d/s	101.5540
LUArmPeakTime	ms	83.3333
LUArmTransTime	ms	45.8333
LUArmToClbGain	d/s	879.3220
PlvPcntMax	%	27.0801
ThxPcntMax	%	38.7669
ArmPcntMax	%	45.1066
ArmsPcntMax	%	52.8112
ClbPcntMax	%	100.0000
fGainPT	ratio	1.4316
fGainTU	ratio	1.1635
fGainUC	ratio	2.2170
fGainTA	ratio	1.3623
fGainAC	ratio	1.8935
tPeaksPT	ms	-8.3333
tPeaksTU	ms	0.0000
tPeaksUC	ms	62.5000
tPeaksTA	ms	8.3333
tPeaksAC	ms	54.1667
PcntLegs	%	27.0801
PcntCore	%	11.6868
PcntShld	%	6.3397
PcntWrst	%	54.8934
POrderPlvU	order	2.0000
POrderThxU	order	1.0000
POrderArmU	order	1.0000
POrderShftU	order	3.0000
TOrderPlvU	order	1.0000
TOrderThxU	order	2.0000
TOrderArmU	order	2.0000
TOrderShftU	order	3.0000
tTranToPkPlv	ms	379.1667
tTranToPkThx	ms	283.3333
tTranToPkLUArm	ms	283.3333
tTranToPkClb	ms	300.0000
tTranToImpPlv	ms	454.1667
tTranToImpThx	ms	366.6667
tTranToImpLUArm	ms	366.6667
tTranToImpArms	ms	358.3333
