[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	450.0745
MaxThxRotSpd	d/s	636.0695
MaxArmsRotSpd	d/s	847.2615
MaxShftRotSpd	d/s	1633.3456
ShftAngAtMaxSpd	deg	30.9470
PlvThxRotSpdGain	d/s	185.9950
ThxArmsRotSpdGain	d/s	211.1920
ArmsShftRotSpdGain	d/s	786.0842
BckSwngMS	ms	1112.5000
FwdSwngMS	ms	316.6667
FThruMS	ms	604.1667
XFctrS1	deg	6.6177
WrstSetAng1	deg	86.9519
ShftAngAtMxSpd	deg	30.9470
MaxShftRotSpd2	d/s	1633.3456
ShftRotSpdAtImp	d/s	1610.1111
ShftRotSpdLoss	d/s	23.2345
WrstSetAng2	deg	86.9519
XFctrTop1	deg	40.4101
XFctrMax1	deg	47.0278
XFctrStrch2	deg	6.6177
BckSwngSecs	s	1.1125
FwdSwngSecs	s	0.3167
FThruSecs	s	0.6042
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1110.6511
ThxAvgAngAccel	d/s/s	2324.8836
ArmsAvgAngAccel	d/s/s	3053.1296
ShftAvgAngAccel	d/s/s	5313.9456
PlvAvgAngDecel	d/s/s	2259.6400
ThxAvgAngDecel	d/s/s	978.6120
ArmsAvgAngDecel	d/s/s	601.4965
ShftAvgAngDecel	d/s/s	4854.1168
PlvMaxRotSpd2	d/s	433.7960
ThxMaxRotSpd2	d/s	633.7110
ArmsMaxRotSpd2	d/s	847.2610
ShftMaxRotSpd2	d/s	1633.3460
ToPlvRotSpdGain2	d/s	433.7960
PlvThxRotSpdGain2	d/s	199.9150
ThxArmsRotSpdGain2	d/s	213.5500
ArmsShftRotSpdGain2	d/s	786.0850
tBefImpPlv	ms	75.0000
tBefImpThx	ms	83.3333
tBefImpArms	ms	70.8333
tBefImpShft	ms	4.1667
tBefTopPlv	ms	150.0000
tBefTopThx	ms	41.6667
tBefTopArms	ms	33.3333
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	2.0000
TOrderArms	order	3.0000
TOrderShft	order	4.0000
POrderPlv	order	2.0000
POrderThx	order	1.0000
POrderArm	order	3.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	37.4100
CRAtThxTransSA	deg	42.9560
CRAtPTEquiSA	deg	44.1900
PTOppDir	deg	5.5460
PTFwdDir	deg	1.2340
PTMax	deg	6.7800
tPlvTrans	ms	-150.0000
tThxTrans	ms	-41.6667
tEquiVelT	ms	16.6667
tEquiVelI	ms	-300.0000
tPTOpp	ms	108.3333
tPTFwd	ms	58.3333
tPTtotal	ms	166.6667
vPTOpp	d/s	51.1938
vPTFwd	d/s	21.1543
vPTMax	d/s	40.6800
CRAtPlvTransJCS	deg	41.0170
CRAtThxTransJCS	deg	46.2780
CRAtPTEquiJCS	deg	47.2690
PTOppDirJCS	deg	5.2610
PTFwdDirJCS	deg	0.9910
PTMaxJCS	deg	6.2520
vPTOppJCS	d/s	48.5631
vPTFwdJCS	d/s	16.9886
vPTMaxJCS	d/s	37.5120
