[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	474.4512
MaxThxRotSpd	d/s	664.2931
MaxArmsRotSpd	d/s	865.1901
MaxShftRotSpd	d/s	1756.7550
ShftAngAtMaxSpd	deg	17.3030
PlvThxRotSpdGain	d/s	189.8419
ThxArmsRotSpdGain	d/s	200.8970
ArmsShftRotSpdGain	d/s	891.5649
BckSwngMS	ms	979.1667
FwdSwngMS	ms	312.5000
FThruMS	ms	612.5000
XFctrS1	deg	4.4248
WrstSetAng1	deg	83.4933
ShftAngAtMxSpd	deg	17.3030
MaxShftRotSpd2	d/s	1756.7550
ShftRotSpdAtImp	d/s	1756.7550
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	83.4933
XFctrTop1	deg	40.2948
XFctrMax1	deg	44.7196
XFctrStrch2	deg	4.4248
BckSwngSecs	s	0.9792
FwdSwngSecs	s	0.3125
FThruSecs	s	0.6125
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1239.4027
ThxAvgAngAccel	d/s/s	2612.2505
ArmsAvgAngAccel	d/s/s	3088.0094
ShftAvgAngAccel	d/s/s	5702.2267
PlvAvgAngDecel	d/s/s	2857.8840
ThxAvgAngDecel	d/s/s	2109.9055
ArmsAvgAngDecel	d/s/s	1030.8565
ShftAvgAngDecel	d/s/s	5233.2862
PlvMaxRotSpd2	d/s	460.9050
ThxMaxRotSpd2	d/s	660.6880
ArmsMaxRotSpd2	d/s	865.1900
ShftMaxRotSpd2	d/s	1697.5250
ToPlvRotSpdGain2	d/s	460.9050
PlvThxRotSpdGain2	d/s	199.7830
ThxArmsRotSpdGain2	d/s	204.5020
ArmsShftRotSpdGain2	d/s	832.3350
tBefImpPlv	ms	83.3333
tBefImpThx	ms	91.6667
tBefImpArms	ms	70.8333
tBefImpShft	ms	12.5000
tBefTopPlv	ms	145.8333
tBefTopThx	ms	33.3333
tBefTopArms	ms	41.6667
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	3.0000
TOrderArms	order	2.0000
TOrderShft	order	4.0000
POrderPlv	order	2.0000
POrderThx	order	1.0000
POrderArm	order	3.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	37.2350
CRAtThxTransSA	deg	42.8540
CRAtPTEquiSA	deg	43.8230
PTOppDir	deg	5.6190
PTFwdDir	deg	0.9690
PTMax	deg	6.5880
tPlvTrans	ms	-145.8333
tThxTrans	ms	-33.3333
tEquiVelT	ms	12.5000
tEquiVelI	ms	-300.0000
tPTOpp	ms	112.5000
tPTFwd	ms	45.8333
tPTtotal	ms	158.3333
vPTOpp	d/s	49.9467
vPTFwd	d/s	21.1418
vPTMax	d/s	41.6084
CRAtPlvTransJCS	deg	39.5950
CRAtThxTransJCS	deg	45.1860
CRAtPTEquiJCS	deg	46.0120
PTOppDirJCS	deg	5.5910
PTFwdDirJCS	deg	0.8260
PTMaxJCS	deg	6.4170
vPTOppJCS	d/s	49.6978
vPTFwdJCS	d/s	18.0218
vPTMaxJCS	d/s	40.5284
LUArmAvgAngAccel	d/s/s	2816.9455
