[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	434.3701
MaxThxRotSpd	d/s	620.4302
MaxArmsRotSpd	d/s	879.8297
MaxShftRotSpd	d/s	1651.8217
ShftAngAtMaxSpd	deg	13.1724
PlvThxRotSpdGain	d/s	186.0602
ThxArmsRotSpdGain	d/s	259.3994
ArmsShftRotSpdGain	d/s	771.9920
BckSwngMS	ms	1066.6667
FwdSwngMS	ms	341.6667
FThruMS	ms	579.1667
XFctrS1	deg	7.1042
WrstSetAng1	deg	86.4911
ShftAngAtMxSpd	deg	13.1724
MaxShftRotSpd2	d/s	1651.8217
ShftRotSpdAtImp	d/s	1651.8217
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	86.4911
XFctrTop1	deg	35.9124
XFctrMax1	deg	43.0165
XFctrStrch2	deg	7.1042
BckSwngSecs	s	1.0667
FwdSwngSecs	s	0.3417
FThruSecs	s	0.5792
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	922.9123
ThxAvgAngAccel	d/s/s	2039.1551
ArmsAvgAngAccel	d/s/s	2770.0239
ShftAvgAngAccel	d/s/s	5019.6800
PlvAvgAngDecel	d/s/s	2817.5160
ThxAvgAngDecel	d/s/s	1745.2926
ArmsAvgAngDecel	d/s/s	1672.9200
ShftAvgAngDecel	d/s/s	4585.2600
PlvMaxRotSpd2	d/s	418.7190
ThxMaxRotSpd2	d/s	615.4460
ArmsMaxRotSpd2	d/s	879.8300
ShftMaxRotSpd2	d/s	1607.4310
ToPlvRotSpdGain2	d/s	418.7190
PlvThxRotSpdGain2	d/s	196.7270
ThxArmsRotSpdGain2	d/s	264.3840
ArmsShftRotSpdGain2	d/s	727.6010
tBefImpPlv	ms	83.3333
tBefImpThx	ms	79.1667
tBefImpArms	ms	50.0000
tBefImpShft	ms	16.6667
tBefTopPlv	ms	195.8333
tBefTopThx	ms	41.6667
tBefTopArms	ms	29.1667
tBefTopShft	ms	0.0000
TOrderPlv	order	1.0000
TOrderThx	order	2.0000
TOrderArms	order	3.0000
TOrderShft	order	4.0000
POrderPlv	order	1.0000
POrderThx	order	2.0000
POrderArm	order	3.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	33.7800
CRAtThxTransSA	deg	40.5450
CRAtPTEquiSA	deg	42.3200
PTOppDir	deg	6.7650
PTFwdDir	deg	1.7750
PTMax	deg	8.5400
tPlvTrans	ms	-195.8333
tThxTrans	ms	-41.6667
tEquiVelT	ms	70.8333
tEquiVelI	ms	-270.8333
tPTOpp	ms	154.1667
tPTFwd	ms	112.5000
tPTtotal	ms	266.6667
vPTOpp	d/s	43.8811
vPTFwd	d/s	15.7778
vPTMax	d/s	32.0250
CRAtPlvTransJCS	deg	35.7480
CRAtThxTransJCS	deg	42.3010
CRAtPTEquiJCS	deg	44.2140
PTOppDirJCS	deg	6.5530
PTFwdDirJCS	deg	1.9130
PTMaxJCS	deg	8.4660
vPTOppJCS	d/s	42.5059
vPTFwdJCS	d/s	17.0044
vPTMaxJCS	d/s	31.7475
LUArmAvgAngAccel	d/s/s	2577.3326
LUArmAvgAngDecel	d/s/s	706.5726
LUArmMaxAngVel	d/s	750.4900
LUArmAngVelGain	d/s	135.0440
LUArmPeakTime	ms	79.1667
LUArmTransTime	ms	37.5000
LUArmToClbGain	d/s	856.9410
PlvPcntMax	%	26.0490
ThxPcntMax	%	38.2876
ArmPcntMax	%	46.6888
ArmsPcntMax	%	54.7352
ClbPcntMax	%	100.0000
fGainPT	ratio	1.4698
fGainTU	ratio	1.2194
fGainUC	ratio	2.1418
fGainTA	ratio	1.4296
fGainAC	ratio	1.8270
tPeaksPT	ms	4.1667
tPeaksTU	ms	0.0000
tPeaksUC	ms	62.5000
tPeaksTA	ms	29.1667
tPeaksAC	ms	33.3333
PcntLegs	%	26.0490
PcntCore	%	12.2386
PcntShld	%	8.4012
PcntWrst	%	53.3112
POrderPlvU	order	1.0000
POrderThxU	order	2.0000
POrderArmU	order	2.0000
POrderShftU	order	3.0000
TOrderPlvU	order	1.0000
TOrderThxU	order	2.0000
TOrderArmU	order	3.0000
TOrderShftU	order	4.0000
tTranToPkPlv	ms	454.1667
tTranToPkThx	ms	304.1667
tTranToPkLUArm	ms	300.0000
tTranToPkClb	ms	325.0000
tTranToImpPlv	ms	537.5000
tTranToImpThx	ms	383.3333
tTranToImpLUArm	ms	379.1667
tTranToImpArms	ms	370.8333
tTranToImpClb	ms	341.6667
tTranPlvThx	ms	154.1667
tTranThxLUArm	ms	4.1667
tTranLUArmClb	ms	37.5000
tTranThxArms	ms	12.5000
tTranArmsClb	ms	29.1667
PlvTransAccel	d/s/s	453.3800
ThxTransAccel	d/s/s	697.1800
LUArmTransAccel	d/s/s	885.6600
ClbTransAccel	d/s/s	2684.4400
tTranToEqPlv	ms	266.6667
tTranToEqThx	ms	112.5000
tTranToEqLUArm	ms	108.3333
tTranToEqClb	ms	70.8333
