[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	329.8565
MaxThxRotSpd	d/s	510.3841
MaxArmsRotSpd	d/s	719.7852
MaxShftRotSpd	d/s	1825.9142
ShftAngAtMaxSpd	deg	17.5028
PlvThxRotSpdGain	d/s	180.5276
ThxArmsRotSpdGain	d/s	209.4011
ArmsShftRotSpdGain	d/s	1106.1290
BckSwngMS	ms	808.3333
FwdSwngMS	ms	325.0000
FThruMS	ms	575.0000
XFctrS1	deg	0.0000
WrstSetAng1	deg	73.2054
ShftAngAtMxSpd	deg	17.5028
MaxShftRotSpd2	d/s	1825.9142
ShftRotSpdAtImp	d/s	1825.9142
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	73.2054
XFctrTop1	deg	43.2535
XFctrMax1	deg	43.2535
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.8083
FwdSwngSecs	s	0.3250
FThruSecs	s	0.5750
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1398.5542
ThxAvgAngAccel	d/s/s	1724.1669
ArmsAvgAngAccel	d/s/s	3288.8060
ShftAvgAngAccel	d/s/s	5721.7600
PlvAvgAngDecel	d/s/s	1279.6560
ThxAvgAngDecel	d/s/s	1218.4400
ArmsAvgAngDecel	d/s/s	1957.0852
ShftAvgAngDecel	d/s/s	6208.5333
PlvMaxRotSpd2	d/s	317.8180
ThxMaxRotSpd2	d/s	497.6980
ArmsMaxRotSpd2	d/s	719.7850
ShftMaxRotSpd2	d/s	1823.0560
ToPlvRotSpdGain2	d/s	317.8180
PlvThxRotSpdGain2	d/s	179.8800
ThxArmsRotSpdGain2	d/s	222.0870
ArmsShftRotSpdGain2	d/s	1103.2710
tBefImpPlv	ms	41.6667
tBefImpThx	ms	25.0000
tBefImpArms	ms	95.8333
tBefImpShft	ms	0.0000
tBefTopPlv	ms	-54.1667
tBefTopThx	ms	-8.3333
tBefTopArms	ms	-8.3333
tBefTopShft	ms	0.0000
TOrderPlv	order	3.0000
TOrderThx	order	2.0000
TOrderArms	order	2.0000
TOrderShft	order	1.0000
POrderPlv	order	2.0000
POrderThx	order	3.0000
POrderArm	order	1.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	40.6900
CRAtThxTransSA	deg	42.7260
CRAtPTEquiSA	deg	43.1190
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	54.1667
tThxTrans	ms	8.3333
tEquiVelT	ms	-12.5000
tEquiVelI	ms	-337.5000
tPTOpp	ms	0.0000
tPTFwd	ms	0.0000
tPTtotal	ms	0.0000
vPTOpp	d/s	0.0000
vPTFwd	d/s	0.0000
vPTMax	d/s	0.0000
CRAtPlvTransJCS	deg	43.1020
CRAtThxTransJCS	deg	45.2520
CRAtPTEquiJCS	deg	45.6780
PTOppDirJCS	deg	0.0000
PTFwdDirJCS	deg	0.0000
PTMaxJCS	deg	0.0000
vPTOppJCS	d/s	0.0000
vPTFwdJCS	d/s	0.0000
vPTMaxJCS	d/s	0.0000
LUArmAvgAngAccel	d/s/s	2758.4057
LUArmAvgAngDecel	d/s/s	1919.3520
LUArmMaxAngVel	d/s	636.8330
LUArmAngVelGain	d/s	139.1350
LUArmPeakTime	ms	83.3333
LUArmTransTime	ms	-12.5000
LUArmToClbGain	d/s	1186.2230
PlvPcntMax	%	17.4333
ThxPcntMax	%	27.3002
ArmPcntMax	%	34.9322
ArmsPcntMax	%	39.4823
ClbPcntMax	%	100.0000
fGainPT	ratio	1.5660
fGainTU	ratio	1.2796
fGainUC	ratio	2.8627
fGainTA	ratio	1.4462
fGainAC	ratio	2.5328
tPeaksPT	ms	16.6667
tPeaksTU	ms	-58.3333
tPeaksUC	ms	83.3333
tPeaksTA	ms	-70.8333
tPeaksAC	ms	95.8333
PcntLegs	%	17.4333
PcntCore	%	9.8669
PcntShld	%	7.6320
PcntWrst	%	65.0678
POrderPlvU	order	2.0000
POrderThxU	order	3.0000
POrderArmU	order	1.0000
POrderShftU	order	4.0000
TOrderPlvU	order	4.0000
TOrderThxU	order	2.0000
TOrderArmU	order	3.0000
TOrderShftU	order	1.0000
tTranToPkPlv	ms	229.1667
tTranToPkThx	ms	291.6667
tTranToPkLUArm	ms	229.1667
tTranToPkClb	ms	325.0000
tTranToImpPlv	ms	270.8333
tTranToImpThx	ms	316.6667
tTranToImpLUArm	ms	312.5000
