[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	305.5433
MaxThxRotSpd	d/s	581.4958
MaxArmsRotSpd	d/s	693.3049
MaxShftRotSpd	d/s	1945.0186
ShftAngAtMaxSpd	deg	11.5974
PlvThxRotSpdGain	d/s	275.9525
ThxArmsRotSpdGain	d/s	111.8091
ArmsShftRotSpdGain	d/s	1251.7137
BckSwngMS	ms	833.3333
FwdSwngMS	ms	333.3333
FThruMS	ms	570.8333
XFctrS1	deg	0.0000
WrstSetAng1	deg	72.4194
ShftAngAtMxSpd	deg	11.5974
MaxShftRotSpd2	d/s	1945.0186
ShftRotSpdAtImp	d/s	1945.0186
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	72.4194
XFctrTop1	deg	42.4318
XFctrMax1	deg	42.4318
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.8333
FwdSwngSecs	s	0.3333
FThruSecs	s	0.5708
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1293.6000
ThxAvgAngAccel	d/s/s	1756.4084
ArmsAvgAngAccel	d/s/s	2784.8840
ShftAvgAngAccel	d/s/s	5479.8210
PlvAvgAngDecel	d/s/s	361.9569
ThxAvgAngDecel	d/s/s	1809.8400
ArmsAvgAngDecel	d/s/s	2164.5600
ShftAvgAngDecel	d/s/s	5882.6733
PlvMaxRotSpd2	d/s	294.5830
ThxMaxRotSpd2	d/s	556.1820
ArmsMaxRotSpd2	d/s	693.3050
ShftMaxRotSpd2	d/s	1788.9260
ToPlvRotSpdGain2	d/s	294.5830
PlvThxRotSpdGain2	d/s	261.5990
ThxArmsRotSpdGain2	d/s	137.1230
ArmsShftRotSpdGain2	d/s	1095.6210
tBefImpPlv	ms	54.1667
tBefImpThx	ms	16.6667
tBefImpArms	ms	83.3333
tBefImpShft	ms	0.0000
tBefTopPlv	ms	-50.0000
tBefTopThx	ms	0.0000
tBefTopArms	ms	0.0000
tBefTopShft	ms	0.0000
TOrderPlv	order	2.0000
TOrderThx	order	1.0000
TOrderArms	order	1.0000
TOrderShft	order	1.0000
POrderPlv	order	2.0000
POrderThx	order	3.0000
POrderArm	order	1.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	39.9850
CRAtThxTransSA	deg	42.3030
CRAtPTEquiSA	deg	42.5460
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	50.0000
tThxTrans	ms	0.0000
tEquiVelT	ms	-16.6667
tEquiVelI	ms	-350.0000
tPTOpp	ms	0.0000
tPTFwd	ms	0.0000
tPTtotal	ms	0.0000
vPTOpp	d/s	0.0000
vPTFwd	d/s	0.0000
vPTMax	d/s	0.0000
CRAtPlvTransJCS	deg	42.4630
CRAtThxTransJCS	deg	44.8130
CRAtPTEquiJCS	deg	45.0780
PTOppDirJCS	deg	0.0000
PTFwdDirJCS	deg	0.0000
PTMaxJCS	deg	0.0000
vPTOppJCS	d/s	0.0000
vPTFwdJCS	d/s	0.0000
vPTMaxJCS	d/s	0.0000
LUArmAvgAngAccel	d/s/s	2483.8780
LUArmAvgAngDecel	d/s/s	1944.1642
LUArmMaxAngVel	d/s	627.4930
LUArmAngVelGain	d/s	71.3110
LUArmPeakTime	ms	79.1667
LUArmTransTime	ms	-4.1667
LUArmToClbGain	d/s	1161.4330
PlvPcntMax	%	16.4670
ThxPcntMax	%	31.0903
ArmPcntMax	%	35.0765
ArmsPcntMax	%	38.7554
ClbPcntMax	%	100.0000
fGainPT	ratio	1.8880
fGainTU	ratio	1.1282
fGainUC	ratio	2.8509
fGainTA	ratio	1.2465
fGainAC	ratio	2.5803
tPeaksPT	ms	37.5000
tPeaksTU	ms	-62.5000
tPeaksUC	ms	79.1667
tPeaksTA	ms	-66.6667
tPeaksAC	ms	83.3333
PcntLegs	%	16.4670
PcntCore	%	14.6232
PcntShld	%	3.9862
PcntWrst	%	64.9235
POrderPlvU	order	2.0000
POrderThxU	order	3.0000
POrderArmU	order	1.0000
POrderShftU	order	4.0000
TOrderPlvU	order	3.0000
TOrderThxU	order	1.0000
TOrderArmU	order	2.0000
TOrderShftU	order	1.0000
tTranToPkPlv	ms	229.1667
tTranToPkThx	ms	316.6667
tTranToPkLUArm	ms	250.0000
tTranToPkClb	ms	333.3333
tTranToImpPlv	ms	283.3333
tTranToImpThx	ms	333.3333
tTranToImpLUArm	ms	329.1667
tTranToImpArms	ms	333.3333
tTranToImpClb	ms	333.3333
tTranPlvThx	ms	-50.0000
tTranThxLUArm	ms	4.1667
tTranLUArmClb	ms	-4.1667
tTranThxArms	ms	0.0000
tTranArmsClb	ms	0.0000
PlvTransAccel	d/s/s	500.8800
ThxTransAccel	d/s/s	1096.1000
LUArmTransAccel	d/s/s	1435.6200
ClbTransAccel	d/s/s	3284.0600
tTranToEqPlv	ms	-66.6667
tTranToEqThx	ms	-16.6667
tTranToEqLUArm	ms	-20.8333
tTranToEqClb	ms	-16.6667
ShHorAdAtThxTrans	deg	45.6420
ShHorAdAtLArmTrans	deg	45.6040
ShHorAdMin	deg	45.4320
ThxLArmContraAng	deg	0.0380
ThxLArmIpsiAng	deg	0.1720
ThxLArmTotalAng	deg	0.2100
tThxLArmContra	ms	4.1667
tThxLArmIpsi	ms	29.1667
tThxLArmTotal	ms	33.3333
vThxLArmContra	d/s	9.1200
vThxLArmIpsi	d/s	5.8971
vThxLArmTotal	d/s	6.3000
WrSetAtLArmTrans	deg	71.2640
WrSetAtClbTrans	deg	71.2630
WrSetMin	deg	71.2030
WrSetPreImp	deg	138.9760
LArmClbContraAng	deg	0.0000
LArmClbIpsiAng	deg	0.0000
