[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	280.5939
MaxThxRotSpd	d/s	499.4427
MaxArmsRotSpd	d/s	703.2254
MaxShftRotSpd	d/s	1734.3721
ShftAngAtMaxSpd	deg	31.4368
PlvThxRotSpdGain	d/s	218.8489
ThxArmsRotSpdGain	d/s	203.7827
ArmsShftRotSpdGain	d/s	1031.1467
BckSwngMS	ms	850.0000
FwdSwngMS	ms	337.5000
FThruMS	ms	1000.0000
XFctrS1	deg	0.0000
WrstSetAng1	deg	66.4008
ShftAngAtMxSpd	deg	31.4368
MaxShftRotSpd2	d/s	1734.3721
ShftRotSpdAtImp	d/s	1707.3259
ShftRotSpdLoss	d/s	27.0461
WrstSetAng2	deg	66.4008
XFctrTop1	deg	40.6717
XFctrMax1	deg	40.6717
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.8500
FwdSwngSecs	s	0.3375
FThruSecs	s	1.0000
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1469.2000
ThxAvgAngAccel	d/s/s	1369.0185
ArmsAvgAngAccel	d/s/s	2966.9628
ShftAvgAngAccel	d/s/s	5303.6130
PlvAvgAngDecel	d/s/s	523.9200
ThxAvgAngDecel	d/s/s	2629.3200
ArmsAvgAngDecel	d/s/s	1536.2400
ShftAvgAngDecel	d/s/s	6546.6486
PlvMaxRotSpd2	d/s	273.7070
ThxMaxRotSpd2	d/s	464.5810
ArmsMaxRotSpd2	d/s	703.2250
ShftMaxRotSpd2	d/s	1734.3720
ToPlvRotSpdGain2	d/s	273.7070
PlvThxRotSpdGain2	d/s	190.8740
ThxArmsRotSpdGain2	d/s	238.6440
ArmsShftRotSpdGain2	d/s	1031.1470
tBefImpPlv	ms	116.6667
tBefImpThx	ms	8.3333
tBefImpArms	ms	104.1667
tBefImpShft	ms	4.1667
tBefTopPlv	ms	-33.3333
tBefTopThx	ms	12.5000
tBefTopArms	ms	8.3333
tBefTopShft	ms	0.0000
TOrderPlv	order	4.0000
TOrderThx	order	1.0000
TOrderArms	order	2.0000
TOrderShft	order	3.0000
POrderPlv	order	1.0000
POrderThx	order	3.0000
POrderArm	order	2.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	39.2980
CRAtThxTransSA	deg	41.2600
CRAtPTEquiSA	deg	41.8750
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	33.3333
tThxTrans	ms	-12.5000
tEquiVelT	ms	-41.6667
tEquiVelI	ms	-379.1667
tPTOpp	ms	0.0000
tPTFwd	ms	0.0000
tPTtotal	ms	0.0000
vPTOpp	d/s	0.0000
vPTFwd	d/s	0.0000
vPTMax	d/s	0.0000
CRAtPlvTransJCS	deg	41.9960
CRAtThxTransJCS	deg	43.9330
CRAtPTEquiJCS	deg	44.5190
PTOppDirJCS	deg	0.0000
PTFwdDirJCS	deg	0.0000
PTMaxJCS	deg	0.0000
vPTOppJCS	d/s	0.0000
vPTFwdJCS	d/s	0.0000
vPTMaxJCS	d/s	0.0000
LUArmAvgAngAccel	d/s/s	2345.3790
LUArmAvgAngDecel	d/s/s	2042.1360
LUArmMaxAngVel	d/s	610.9910
LUArmAngVelGain	d/s	146.4100
LUArmPeakTime	ms	83.3333
LUArmTransTime	ms	-4.1667
LUArmToClbGain	d/s	1123.3810
PlvPcntMax	%	15.7813
ThxPcntMax	%	26.7867
ArmPcntMax	%	35.2284
ArmsPcntMax	%	40.5464
ClbPcntMax	%	100.0000
fGainPT	ratio	1.6974
fGainTU	ratio	1.3151
fGainUC	ratio	2.8386
fGainTA	ratio	1.5137
fGainAC	ratio	2.4663
tPeaksPT	ms	108.3333
tPeaksTU	ms	-75.0000
tPeaksUC	ms	79.1667
tPeaksTA	ms	-95.8333
tPeaksAC	ms	100.0000
PcntLegs	%	15.7813
PcntCore	%	11.0054
PcntShld	%	8.4417
PcntWrst	%	64.7716
