[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	297.9306
MaxThxRotSpd	d/s	503.0865
MaxArmsRotSpd	d/s	703.6253
MaxShftRotSpd	d/s	1840.1309
ShftAngAtMaxSpd	deg	11.6577
PlvThxRotSpdGain	d/s	205.1559
ThxArmsRotSpdGain	d/s	200.5388
ArmsShftRotSpdGain	d/s	1136.5056
BckSwngMS	ms	800.0000
FwdSwngMS	ms	316.6667
FThruMS	ms	845.8333
XFctrS1	deg	0.0000
WrstSetAng1	deg	77.7968
ShftAngAtMxSpd	deg	11.6577
MaxShftRotSpd2	d/s	1840.1309
ShftRotSpdAtImp	d/s	1840.1309
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	77.7968
XFctrTop1	deg	43.6407
XFctrMax1	deg	43.6407
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.8000
FwdSwngSecs	s	0.3167
FThruSecs	s	0.8458
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1297.7796
ThxAvgAngAccel	d/s/s	1746.0353
ArmsAvgAngAccel	d/s/s	3153.0356
ShftAvgAngAccel	d/s/s	5772.4768
PlvAvgAngDecel	d/s/s	551.8909
ThxAvgAngDecel	d/s/s	1491.1200
ArmsAvgAngDecel	d/s/s	1988.4000
ShftAvgAngDecel	d/s/s	6423.1600
PlvMaxRotSpd2	d/s	284.9700
ThxMaxRotSpd2	d/s	492.2610
ArmsMaxRotSpd2	d/s	703.6250
ShftMaxRotSpd2	d/s	1792.1890
ToPlvRotSpdGain2	d/s	284.9700
PlvThxRotSpdGain2	d/s	207.2910
ThxArmsRotSpdGain2	d/s	211.3640
ArmsShftRotSpdGain2	d/s	1088.5640
tBefImpPlv	ms	45.8333
tBefImpThx	ms	29.1667
tBefImpArms	ms	87.5000
tBefImpShft	ms	0.0000
tBefTopPlv	ms	-50.0000
tBefTopThx	ms	-4.1667
tBefTopArms	ms	-4.1667
tBefTopShft	ms	0.0000
TOrderPlv	order	3.0000
TOrderThx	order	2.0000
TOrderArms	order	2.0000
TOrderShft	order	1.0000
POrderPlv	order	2.0000
POrderThx	order	3.0000
POrderArm	order	1.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	39.0880
CRAtThxTransSA	deg	41.1730
CRAtPTEquiSA	deg	41.4380
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	50.0000
tThxTrans	ms	4.1667
tEquiVelT	ms	-12.5000
tEquiVelI	ms	-329.1667
tPTOpp	ms	0.0000
tPTFwd	ms	0.0000
tPTtotal	ms	0.0000
vPTOpp	d/s	0.0000
vPTFwd	d/s	0.0000
vPTMax	d/s	0.0000
CRAtPlvTransJCS	deg	41.4310
CRAtThxTransJCS	deg	43.5400
CRAtPTEquiJCS	deg	43.7830
PTOppDirJCS	deg	0.0000
PTFwdDirJCS	deg	0.0000
PTMaxJCS	deg	0.0000
vPTOppJCS	d/s	0.0000
vPTFwdJCS	d/s	0.0000
vPTMaxJCS	d/s	0.0000
LUArmAvgAngAccel	d/s/s	2825.2756
LUArmAvgAngDecel	d/s/s	2095.3371
LUArmMaxAngVel	d/s	632.5630
LUArmAngVelGain	d/s	140.3020
LUArmPeakTime	ms	87.5000
LUArmTransTime	ms	-8.3333
LUArmToClbGain	d/s	1159.6260
PlvPcntMax	%	15.9007
ThxPcntMax	%	27.4670
ArmPcntMax	%	35.2956
ArmsPcntMax	%	39.2606
ClbPcntMax	%	100.0000
fGainPT	ratio	1.7274
fGainTU	ratio	1.2850
fGainUC	ratio	2.8332
fGainTA	ratio	1.4294
fGainAC	ratio	2.5471
tPeaksPT	ms	16.6667
tPeaksTU	ms	-58.3333
tPeaksUC	ms	87.5000
tPeaksTA	ms	-58.3333
tPeaksAC	ms	87.5000
PcntLegs	%	15.9007
PcntCore	%	11.5664
PcntShld	%	7.8285
PcntWrst	%	64.7044
POrderPlvU	order	2.0000
POrderThxU	order	3.0000
POrderArmU	order	1.0000
POrderShftU	order	4.0000
TOrderPlvU	order	4.0000
TOrderThxU	order	2.0000
TOrderArmU	order	3.0000
TOrderShftU	order	1.0000
tTranToPkPlv	ms	220.8333
tTranToPkThx	ms	283.3333
tTranToPkLUArm	ms	220.8333
tTranToPkClb	ms	316.6667
tTranToImpPlv	ms	266.6667
tTranToImpThx	ms	312.5000
tTranToImpLUArm	ms	308.3333
tTranToImpArms	ms	312.5000
tTranToImpClb	ms	316.6667
tTranPlvThx	ms	-45.8333
tTranThxLUArm	ms	4.1667
tTranLUArmClb	ms	-8.3333
tTranThxArms	ms	0.0000
tTranArmsClb	ms	-4.1667
PlvTransAccel	d/s/s	842.1600
ThxTransAccel	d/s/s	1232.0400
LUArmTransAccel	d/s/s	1638.3200
ClbTransAccel	d/s/s	3711.0400
tTranToEqPlv	ms	-62.5000
tTranToEqThx	ms	-16.6667
tTranToEqLUArm	ms	-20.8333
tTranToEqClb	ms	-12.5000
ShHorAdAtThxTrans	deg	45.4850
ShHorAdAtLArmTrans	deg	45.4840
ShHorAdMin	deg	45.4240
ThxLArmContraAng	deg	0.0010
ThxLArmIpsiAng	deg	0.0600
ThxLArmTotalAng	deg	0.0610
tThxLArmContra	ms	4.1667
tThxLArmIpsi	ms	16.6667
tThxLArmTotal	ms	20.8333
vThxLArmContra	d/s	0.2400
vThxLArmIpsi	d/s	3.6000
vThxLArmTotal	d/s	2.9280
WrSetAtLArmTrans	deg	71.3520
WrSetAtClbTrans	deg	71.4340
WrSetMin	deg	71.2570
WrSetPreImp	deg	134.0070
LArmClbContraAng	deg	0.0000
LArmClbIpsiAng	deg	0.0000
