[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	281.7943
MaxThxRotSpd	d/s	510.5474
MaxArmsRotSpd	d/s	710.8788
MaxShftRotSpd	d/s	1741.4321
ShftAngAtMaxSpd	deg	34.5216
PlvThxRotSpdGain	d/s	228.7531
ThxArmsRotSpdGain	d/s	200.3314
ArmsShftRotSpdGain	d/s	1030.5532
BckSwngMS	ms	816.6667
FwdSwngMS	ms	329.1667
FThruMS	ms	579.1667
XFctrS1	deg	0.0000
WrstSetAng1	deg	67.7410
ShftAngAtMxSpd	deg	34.5216
MaxShftRotSpd2	d/s	1741.4321
ShftRotSpdAtImp	d/s	1706.9627
ShftRotSpdLoss	d/s	34.4694
WrstSetAng2	deg	67.7410
XFctrTop1	deg	40.4363
XFctrMax1	deg	40.4363
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.8167
FwdSwngSecs	s	0.3292
FThruSecs	s	0.5792
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1633.0654
ThxAvgAngAccel	d/s/s	1554.2464
ArmsAvgAngAccel	d/s/s	3036.5179
ShftAvgAngAccel	d/s/s	5491.2462
PlvAvgAngDecel	d/s/s	482.5846
ThxAvgAngDecel	d/s/s	1510.8600
ArmsAvgAngDecel	d/s/s	1475.4157
ShftAvgAngDecel	d/s/s	5436.6681
PlvMaxRotSpd2	d/s	278.0400
ThxMaxRotSpd2	d/s	482.6500
ArmsMaxRotSpd2	d/s	710.8790
ShftMaxRotSpd2	d/s	1741.4320
ToPlvRotSpdGain2	d/s	278.0400
PlvThxRotSpdGain2	d/s	204.6100
ThxArmsRotSpdGain2	d/s	228.2290
ArmsShftRotSpdGain2	d/s	1030.5530
tBefImpPlv	ms	108.3333
tBefImpThx	ms	16.6667
tBefImpArms	ms	95.8333
tBefImpShft	ms	4.1667
tBefTopPlv	ms	-50.0000
tBefTopThx	ms	0.0000
tBefTopArms	ms	4.1667
tBefTopShft	ms	0.0000
TOrderPlv	order	3.0000
TOrderThx	order	2.0000
TOrderArms	order	1.0000
TOrderShft	order	2.0000
POrderPlv	order	1.0000
POrderThx	order	3.0000
POrderArm	order	2.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	38.5810
CRAtThxTransSA	deg	40.8220
CRAtPTEquiSA	deg	41.4510
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	50.0000
tThxTrans	ms	0.0000
tEquiVelT	ms	-29.1667
tEquiVelI	ms	-358.3333
tPTOpp	ms	0.0000
