[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	318.7821
MaxThxRotSpd	d/s	533.0987
MaxArmsRotSpd	d/s	708.3168
MaxShftRotSpd	d/s	1862.8386
ShftAngAtMaxSpd	deg	16.3613
PlvThxRotSpdGain	d/s	214.3166
ThxArmsRotSpdGain	d/s	175.2180
ArmsShftRotSpdGain	d/s	1154.5218
BckSwngMS	ms	812.5000
FwdSwngMS	ms	312.5000
FThruMS	ms	733.3333
XFctrS1	deg	0.0000
WrstSetAng1	deg	82.3069
ShftAngAtMxSpd	deg	16.3613
MaxShftRotSpd2	d/s	1862.8386
ShftRotSpdAtImp	d/s	1862.8386
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	82.3069
XFctrTop1	deg	40.5521
XFctrMax1	deg	40.5521
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.8125
FwdSwngSecs	s	0.3125
FThruSecs	s	0.7333
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1276.8300
ThxAvgAngAccel	d/s/s	1791.5691
ArmsAvgAngAccel	d/s/s	3045.2014
ShftAvgAngAccel	d/s/s	5884.8480
PlvAvgAngDecel	d/s/s	733.2800
ThxAvgAngDecel	d/s/s	2053.5840
ArmsAvgAngDecel	d/s/s	1639.1543
ShftAvgAngDecel	d/s/s	6033.1267
PlvMaxRotSpd2	d/s	296.4020
ThxMaxRotSpd2	d/s	519.2250
ArmsMaxRotSpd2	d/s	708.3170
ShftMaxRotSpd2	d/s	1812.3900
ToPlvRotSpdGain2	d/s	296.4020
PlvThxRotSpdGain2	d/s	222.8230
ThxArmsRotSpdGain2	d/s	189.0920
ArmsShftRotSpdGain2	d/s	1104.0730
tBefImpPlv	ms	37.5000
tBefImpThx	ms	20.8333
tBefImpArms	ms	87.5000
tBefImpShft	ms	0.0000
tBefTopPlv	ms	-41.6667
tBefTopThx	ms	0.0000
tBefTopArms	ms	8.3333
tBefTopShft	ms	0.0000
TOrderPlv	order	3.0000
TOrderThx	order	2.0000
TOrderArms	order	1.0000
TOrderShft	order	2.0000
POrderPlv	order	2.0000
POrderThx	order	3.0000
POrderArm	order	1.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	37.5690
CRAtThxTransSA	deg	39.4760
CRAtPTEquiSA	deg	39.8240
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	41.6667
tThxTrans	ms	0.0000
tEquiVelT	ms	-20.8333
tEquiVelI	ms	-333.3333
tPTOpp	ms	0.0000
tPTFwd	ms	0.0000
tPTtotal	ms	0.0000
vPTOpp	d/s	0.0000
vPTFwd	d/s	0.0000
vPTMax	d/s	0.0000
CRAtPlvTransJCS	deg	40.0560
CRAtThxTransJCS	deg	41.9900
CRAtPTEquiJCS	deg	42.3440
PTOppDirJCS	deg	0.0000
PTFwdDirJCS	deg	0.0000
PTMaxJCS	deg	0.0000
vPTOppJCS	d/s	0.0000
vPTFwdJCS	d/s	0.0000
vPTMaxJCS	d/s	0.0000
LUArmAvgAngAccel	d/s/s	2735.1158
LUArmAvgAngDecel	d/s/s	2442.4200
LUArmMaxAngVel	d/s	645.5060
LUArmAngVelGain	d/s	126.2810
LUArmPeakTime	ms	83.3333
LUArmTransTime	ms	-8.3333
LUArmToClbGain	d/s	1166.8840
PlvPcntMax	%	16.3542
ThxPcntMax	%	28.6486
ArmPcntMax	%	35.6163
ArmsPcntMax	%	39.0819
ClbPcntMax	%	100.0000
fGainPT	ratio	1.7518
fGainTU	ratio	1.2432
fGainUC	ratio	2.8077
fGainTA	ratio	1.3642
fGainAC	ratio	2.5587
tPeaksPT	ms	16.6667
tPeaksTU	ms	-62.5000
tPeaksUC	ms	83.3333
tPeaksTA	ms	-66.6667
tPeaksAC	ms	87.5000
PcntLegs	%	16.3542
PcntCore	%	12.2944
PcntShld	%	6.9677
PcntWrst	%	64.3837
POrderPlvU	order	2.0000
POrderThxU	order	3.0000
POrderArmU	order	1.0000
POrderShftU	order	4.0000
TOrderPlvU	order	3.0000
TOrderThxU	order	1.0000
TOrderArmU	order	2.0000
TOrderShftU	order	1.0000
tTranToPkPlv	ms	233.3333
tTranToPkThx	ms	291.6667
tTranToPkLUArm	ms	220.8333
tTranToPkClb	ms	312.5000
tTranToImpPlv	ms	270.8333
tTranToImpThx	ms	312.5000
tTranToImpLUArm	ms	304.1667
tTranToImpArms	ms	320.8333
tTranToImpClb	ms	312.5000
tTranPlvThx	ms	-41.6667
tTranThxLUArm	ms	8.3333
tTranLUArmClb	ms	-8.3333
tTranThxArms	ms	-8.3333
tTranArmsClb	ms	8.3333
PlvTransAccel	d/s/s	816.7000
ThxTransAccel	d/s/s	1316.9000
LUArmTransAccel	d/s/s	1732.9800
ClbTransAccel	d/s/s	3316.2000
tTranToEqPlv	ms	-62.5000
tTranToEqThx	ms	-20.8333
tTranToEqLUArm	ms	-29.1667
tTranToEqClb	ms	-20.8333
ShHorAdAtThxTrans	deg	44.9640
ShHorAdAtLArmTrans	deg	44.9020
ShHorAdMin	deg	44.9020
ThxLArmContraAng	deg	0.0620
ThxLArmIpsiAng	deg	0.0000
ThxLArmTotalAng	deg	0.0620
tThxLArmContra	ms	8.3333
tThxLArmIpsi	ms	0.0000
tThxLArmTotal	ms	8.3333
vThxLArmContra	d/s	7.4400
vThxLArmIpsi	d/s	0.0000
vThxLArmTotal	d/s	7.4400
WrSetAtLArmTrans	deg	74.8650
WrSetAtClbTrans	deg	74.9620
WrSetMin	deg	74.7530
WrSetPreImp	deg	130.0090
LArmClbContraAng	deg	0.0000
LArmClbIpsiAng	deg	0.0000
LArmClbTotalAng	deg	0.0000
tLArmClbContra	ms	0.0000
tLArmClbIpsi	ms	0.0000
tLArmClbTotal	ms	0.0000
vLArmClbContra	d/s	0.0000
vLArmClbIpsi	d/s	0.0000
vLArmClbTotal	d/s	0.0000
WrSetAVMax	d/s	912.4690
PkOrdBkSwPlv	order	2.0000
PkOrdBkSwThx	order	1.0000
PkOrdBkSwLArm	order	3.0000
PkOrdBkSwClb	order	3.0000
tBkSwPkToTopPlv	ms	404.1667
tBkSwPkToTopThx	ms	437.5000
tBkSwPkToTopLArm	ms	295.8333
tBkSwPkToTopClb	ms	295.8333
tBkSwPkToImpPlv	ms	716.6667
tBkSwPkToImpThx	ms	750.0000
tBkSwPkToImpLArm	ms	608.3333
tBkSwPkToImpClb	ms	608.3333
BkSwPkPlv	d/s	72.2670
BkSwPkThx	d/s	196.3030
BkSwPkLUArm	d/s	243.3740
BkSwPkClb	d/s	603.3090
aaBkSwPlv	d/s/s	178.8049
