[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	280.5534
MaxThxRotSpd	d/s	524.0039
MaxArmsRotSpd	d/s	552.6338
MaxShftRotSpd	d/s	1464.3233
ShftAngAtMaxSpd	deg	27.3402
PlvThxRotSpdGain	d/s	243.4506
ThxArmsRotSpdGain	d/s	28.6299
ArmsShftRotSpdGain	d/s	911.6895
BckSwngMS	ms	741.6667
FwdSwngMS	ms	337.5000
FThruMS	ms	820.8333
XFctrS1	deg	0.0000
WrstSetAng1	deg	88.5592
ShftAngAtMxSpd	deg	27.3402
MaxShftRotSpd2	d/s	1464.3233
ShftRotSpdAtImp	d/s	1456.2965
ShftRotSpdLoss	d/s	8.0267
WrstSetAng2	deg	88.5592
XFctrTop1	deg	31.8145
XFctrMax1	deg	31.8145
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.7417
FwdSwngSecs	s	0.3375
FThruSecs	s	0.8208
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1161.9724
ThxAvgAngAccel	d/s/s	1398.3704
ArmsAvgAngAccel	d/s/s	1869.1933
ShftAvgAngAccel	d/s/s	4484.1810
PlvAvgAngDecel	d/s/s	518.4884
ThxAvgAngDecel	d/s/s	0.0000
ArmsAvgAngDecel	d/s/s	2333.1000
ShftAvgAngDecel	d/s/s	4715.6822
PlvMaxRotSpd2	d/s	280.1450
ThxMaxRotSpd2	d/s	470.5800
ArmsMaxRotSpd2	d/s	552.6340
ShftMaxRotSpd2	d/s	1464.3230
ToPlvRotSpdGain2	d/s	280.1450
PlvThxRotSpdGain2	d/s	190.4350
ThxArmsRotSpdGain2	d/s	82.0540
ArmsShftRotSpdGain2	d/s	911.6890
tBefImpPlv	ms	79.1667
tBefImpThx	ms	0.0000
tBefImpArms	ms	33.3333
tBefImpShft	ms	4.1667
tBefTopPlv	ms	-16.6667
tBefTopThx	ms	0.0000
tBefTopArms	ms	-4.1667
tBefTopShft	ms	0.0000
TOrderPlv	order	3.0000
TOrderThx	order	1.0000
TOrderArms	order	2.0000
TOrderShft	order	1.0000
POrderPlv	order	1.0000
POrderThx	order	4.0000
POrderArm	order	2.0000
POrderShft	order	3.0000
CRAtPlvTransSA	deg	30.2860
