[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	334.6487
MaxThxRotSpd	d/s	516.1595
MaxArmsRotSpd	d/s	647.9944
MaxShftRotSpd	d/s	1666.4919
ShftAngAtMaxSpd	deg	13.3117
PlvThxRotSpdGain	d/s	181.5108
ThxArmsRotSpdGain	d/s	131.8349
ArmsShftRotSpdGain	d/s	1018.4975
BckSwngMS	ms	725.0000
FwdSwngMS	ms	312.5000
FThruMS	ms	858.3333
XFctrS1	deg	0.0000
WrstSetAng1	deg	86.2841
ShftAngAtMxSpd	deg	13.3117
MaxShftRotSpd2	d/s	1666.4919
ShftRotSpdAtImp	d/s	1666.4919
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	86.2841
XFctrTop1	deg	30.1927
XFctrMax1	deg	30.1927
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.7250
FwdSwngSecs	s	0.3125
FThruSecs	s	0.8583
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1413.7527
ThxAvgAngAccel	d/s/s	1894.2498
ArmsAvgAngAccel	d/s/s	3071.9769
ShftAvgAngAccel	d/s/s	5246.6976
PlvAvgAngDecel	d/s/s	228.2653
ThxAvgAngDecel	d/s/s	1727.5400
ArmsAvgAngDecel	d/s/s	925.1400
ShftAvgAngDecel	d/s/s	4656.1933
PlvMaxRotSpd2	d/s	322.7240
ThxMaxRotSpd2	d/s	512.7230
ArmsMaxRotSpd2	d/s	647.9940
ShftMaxRotSpd2	d/s	1606.7090
ToPlvRotSpdGain2	d/s	322.7240
PlvThxRotSpdGain2	d/s	189.9990
ThxArmsRotSpdGain2	d/s	135.2710
ArmsShftRotSpdGain2	d/s	958.7150
tBefImpPlv	ms	79.1667
tBefImpThx	ms	50.0000
tBefImpArms	ms	83.3333
tBefImpShft	ms	0.0000
tBefTopPlv	ms	-4.1667
tBefTopThx	ms	8.3333
tBefTopArms	ms	-12.5000
tBefTopShft	ms	0.0000
TOrderPlv	order	3.0000
TOrderThx	order	1.0000
TOrderArms	order	4.0000
TOrderShft	order	2.0000
POrderPlv	order	2.0000
POrderThx	order	3.0000
POrderArm	order	1.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	28.8820
CRAtThxTransSA	deg	29.0450
CRAtPTEquiSA	deg	29.2810
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	4.1667
tThxTrans	ms	-8.3333
tEquiVelT	ms	-37.5000
tEquiVelI	ms	-350.0000
tPTOpp	ms	0.0000
tPTFwd	ms	0.0000
tPTtotal	ms	0.0000
vPTOpp	d/s	0.0000
vPTFwd	d/s	0.0000
vPTMax	d/s	0.0000
CRAtPlvTransJCS	deg	30.6790
CRAtThxTransJCS	deg	30.8450
CRAtPTEquiJCS	deg	31.1320
PTOppDirJCS	deg	0.0000
PTFwdDirJCS	deg	0.0000
PTMaxJCS	deg	0.0000
vPTOppJCS	d/s	0.0000
vPTFwdJCS	d/s	0.0000
vPTMaxJCS	d/s	0.0000
LUArmAvgAngAccel	d/s/s	2616.5977
LUArmAvgAngDecel	d/s/s	1750.4211
LUArmMaxAngVel	d/s	561.7100
LUArmAngVelGain	d/s	48.9870
LUArmPeakTime	ms	79.1667
LUArmTransTime	ms	-4.1667
LUArmToClbGain	d/s	1044.9990
PlvPcntMax	%	20.0860
ThxPcntMax	%	31.9114
ArmPcntMax	%	34.9603
